length_from,length_to,severely_wasted,wasted_from,wasted_to,normal_from,normal_to,overweight_from,overweight_to,obese
103.8,104.2,12.9,13.0,13.9,14.0,19.7,19.8,21.6,21.7
104.3,104.7,13.0,13.1,14.1,14.2,19.9,20.0,21.8,21.9
104.8,105.2,13.1,13.2,14.2,14.3,20.1,20.2,22.0,22.1
105.3,105.7,13.2,13.3,14.3,14.4,20.3,20.4,22.2,22.3
105.8,106.2,13.3,13.4,14.4,14.5,20.5,20.6,22.5,22.6
106.3,106.7,13.4,13.5,14.6,14.7,20.7,20.8,22.7,22.8
106.8,107.2,13.6,13.7,14.7,14.8,20.9,21.0,22.9,23.0
107.3,107.7,13.7,13.8,14.8,14.9,21.1,21.2,23.2,23.3
107.8,108.2,13.8,13.9,15.0,15.1,21.3,21.4,23.4,23.5
108.3,108.7,13.9,14.0,15.1,15.2,21.5,21.6,23.7,23.8
108.8,109.2,14.0,14.1,15.2,15.3,21.8,21.9,23.9,24.0
109.3,109.7,14.2,14.3,15.4,15.5,22.0,22.1,24.2,24.3
109.8,110.2,14.3,14.4,15.5,15.6,22.2,22.3,24.4,24.5
110.3,110.7,14.4,14.5,15.7,15.8,22.4,22.5,24.7,24.8
110.8,111.2,14.5,14.6,15.8,15.9,22.7,22.8,25.0,25.1
111.3,111.7,14.7,14.8,15.9,16.0,22.9,23.0,25.2,25.3
111.8,112.2,14.8,14.9,16.1,16.2,23.1,23.2,25.5,25.6
112.3,112.7,14.9,15.0,16.2,16.3,23.4,23.5,25.8,25.9
112.8,113.2,15.1,15.2,16.4,16.5,23.6,23.7,26.0,26.1
113.3,113.7,15.2,15.3,16.5,16.6,23.9,24.0,26.3,26.4
113.8,114.2,15.3,15.4,16.7,16.8,24.1,24.2,26.6,26.7
114.3,114.7,15.5,15.6,16.8,16.9,24.4,24.5,26.9,27.0
114.8,115.2,15.6,15.7,17.0,17.1,24.6,24.7,27.2,27.3
115.3,115.7,15.7,15.8,17.1,17.2,24.9,25.0,27.5,27.6
115.8,116.2,15.9,16.0,17.3,17.4,25.1,25.2,27.8,27.9
116.3,116.7,16.0,16.1,17.4,17.5,25.4,25.5,28.0,28.1
116.8,117.2,16.1,16.2,17.6,17.7,25.6,25.7,28.3,28.4
117.3,117.7,16.3,16.4,17.8,17.9,25.9,26.0,28.6,28.7
117.8,118.2,16.4,16.5,17.9,18.0,26.1,26.2,28.9,29.0
118.3,118.7,16.6,16.7,18.1,18.2,26.4,26.5,29.2,29.3
118.8,119.2,16.7,16.8,18.2,18.3,26.6,26.7,29.5,29.6
119.3,119.7,16.8,16.9,18.4,18.5,26.9,27.0,29.8,29.9
119.8,120.2,17.0,17.1,18.5,18.6,27.2,27.3,30.1,30.2
