length_from,length_to,severely_wasted,wasted_from,wasted_to,normal_from,normal_to,overweight_from,overweight_to,obese
103.8,104.2,12.5,12.6,13.7,13.8,19.9,20.0,22.0,22.1
104.3,104.7,12.7,12.8,13.8,13.9,20.1,20.2,22.3,22.4
104.8,105.2,12.8,12.9,13.9,14.0,20.3,20.4,22.5,22.6
105.3,105.7,12.9,13.0,14.1,14.2,20.5,20.6,22.7,22.8
105.8,106.2,13.0,13.1,14.2,14.3,20.8,20.9,23.0,23.1
106.3,106.7,13.2,13.3,14.4,14.5,21.0,21.1,23.2,23.3
106.8,107.2,13.3,13.4,14.5,14.6,21.2,21.3,23.5,23.6
107.3,107.7,13.4,13.5,14.6,14.7,21.4,21.5,23.7,23.8
107.8,108.2,13.6,13.7,14.8,14.9,21.7,21.8,24.0,24.1
108.3,108.7,13.7,13.8,14.9,15.0,21.9,22.0,24.3,24.4
108.8,109.2,13.8,13.9,15.1,15.2,22.1,22.2,24.5,24.6
109.3,109.7,14.0,14.1,15.3,15.4,22.4,22.5,24.8,24.9
109.8,110.2,14.1,14.2,15.4,15.5,22.6,22.7,25.1,25.2
110.3,110.7,14.3,14.4,15.6,15.7,22.9,23.0,25.4,25.5
110.8,111.2,14.4,14.5,15.7,15.8,23.1,23.2,25.7,25.8
111.3,111.7,14.6,14.7,15.9,16.0,23.4,23.5,26.0,26.1
111.8,112.2,14.7,14.8,16.1,16.2,23.6,23.7,26.2,26.3
112.3,112.7,14.9,15.0,16.2,16.3,23.9,24.0,26.5,26.6
112.8,113.2,15.0,15.1,16.4,16.5,24.2,24.3,26.8,26.9
113.3,113.7,15.2,15.3,16.6,16.7,24.4,24.5,27.1,27.2
113.8,114.2,15.3,15.4,16.7,16.8,24.7,24.8,27.4,27.5
114.3,114.7,15.5,15.6,16.9,17.0,25.0,25.1,27.8,27.9
114.8,115.2,15.6,15.7,17.1,17.2,25.2,25.3,28.1,28.2
115.3,115.7,15.8,15.9,17.2,17.3,25.5,25.6,28.4,28.5
115.8,116.2,15.9,16.0,17.4,17.5,25.8,25.9,28.7,28.8
116.3,116.7,16.1,16.2,17.6,17.7,26.1,26.2,29.0,29.1
116.8,117.2,16.2,16.3,17.7,17.8,26.3,26.4,29.3,29.4
117.3,117.7,16.4,16.5,17.9,18.0,26.6,26.7,29.6,29.7
117.8,118.2,16.5,16.6,18.1,18.2,26.9,27.0,29.9,30.0
118.3,118.7,16.7,16.8,18.3,18.4,27.2,27.3,30.3,30.4
118.8,119.2,16.8,16.9,18.4,18.5,27.4,27.5,30.6,30.7
119.3,119.7,17.0,17.1,18.6,18.7,27.7,27.8,30.9,31.0
119.8,120.2,17.2,17.3,18.8,18.9,28.0,28.1,31.2,31.3
